,2021 Jan,,,,2021 Feb,,,,2021 Mar,,,,2021 Apr,,,,2021 May,,,,2021 Jun,,,,2021 Jul,,,,2021 Aug,,,,2021 Sep,,,,2021 Oct,,,,2021 Nov,,,,2021 Dec,,,,2022 Jan,,,,2022 Feb,,,,2022 Mar,,,,2022 Apr,,,,2022 May,,,,2022 Jun,,,,2022 Jul,,,,2022 Aug,,,,2022 Sep,,,,2022 Oct,,,,2022 Nov,,,,2022 Dec,,,
States_Code,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths,New_case,Total_cases,New_death,Total_deaths
KS,49745,1029759,949,13816,20320,1150700,935,17425,7289,1196279,179,19223,7425,1528922,111,24643,5132,1248893,82,20123,3361,1264500,77,20420,11809,1613210,112,25935,33511,1394163,299,21651,46479,1961986,513,29101,23871,1697510,296,24819,28344,1798167,329,26366,58527,2471817,340,34501,190155,2502789,388,28937,54221,3013096,526,31144,5799,3843743,365,40597,3872,3088016,298,34038,12061,3121772,289,35011,21043,3989957,26,44506,27935,3294686,23,35717,23810,3402426,28,35800,19691,4361011,120,45778,8626,3535260,54,38373,10762,3574349,50,38563,18894,4547785,56,48497
KY,97692,1326525,874,12405,44253,1574672,981,16732,18466,1676401,1338,20364,18482,2181498,659,31337,11459,1806158,248,26532,5279,1834603,468,28518,17966,2339504,131,36343,83091,2092372,253,29769,139982,3260228,1060,40754,45170,2933467,1032,37191,36926,3071705,1095,40973,88882,4154335,1337,57946,310805,4209707,689,50089,129843,5143898,878,53269,17770,6632891,1231,71931,5450,5338327,518,60497,25399,5401000,491,63031,48572,6945979,240,80266,62938,5790449,207,65068,68074,6057289,252,66003,53622,7901189,366,84129,17634,6423153,292,68593,20360,6502225,198,69551,33968,8265803,211,87902
LA,81184,1456353,1240,32774,34516,1668916,839,37135,15301,1748513,528,39490,15120,2254960,311,51272,12491,1861705,195,41946,9101,1902674,147,42604,53009,2498952,240,54131,139285,2473941,1277,46552,68424,3591135,1675,66374,18078,3007810,604,57293,11312,3059761,266,58731,47177,3929058,211,74488,328976,4011943,540,60908,78779,4824744,1035,64705,8229,6150640,560,84623,5064,4940195,113,68768,17319,4984661,84,69153,50904,6411857,92,86816,66635,5386889,145,69922,46063,5607399,272,70857,36253,7223760,223,89759,6983,5836663,122,72517,9008,5867093,91,72900,22275,7454726,112,91609
MA,141585,1843043,1966,54328,64382,2215884,1641,61483,45931,2406203,1025,66463,66427,3314097,608,87046,19784,2802114,261,71002,3516,2834346,141,71736,8401,3564118,91,90118,32304,2946713,128,72571,60071,3930499,401,92083,38628,3338576,370,75354,55460,3515958,295,76613,191418,5004554,588,97957,484780,5697261,124,79831,86017,6586081,4,79914,30543,8423597,117,100133,52611,6907479,149,80757,105724,7253137,297,81667,67147,9499300,388,103942,33197,7768956,195,84227,40610,7928261,215,85024,44148,10111510,304,107620,46036,8295595,377,87557,23081,8406248,374,89015,45167,10673745,543,113478
MD,72870,1286683,1146,26221,31931,1475619,793,30085,24110,1571758,425,32233,42893,2146504,495,42482,13386,1820604,328,35686,3008,1844287,685,38697,5044,2320170,91,48869,22999,1919186,153,39583,40931,2571078,460,51114,27062,2196052,415,42778,22573,2285156,307,44173,111765,3117887,555,56688,272840,3565704,1577,50554,34128,3963766,782,55426,12269,5036586,282,71299,17255,4083763,96,57606,49369,4223956,140,58112,54683,5566971,204,73504,42712,4635221,178,59547,40170,4806902,174,60276,32634,6179991,250,76426,17654,5038210,145,61902,18201,5110111,159,62522,30795,6508844,249,79176
ME,14253,133675,220,1945,5664,169811,133,2624,5072,188701,32,2885,11755,279551,50,3799,6479,262180,44,3232,1465,274044,29,3384,1373,347660,45,4385,4441,291089,27,3650,15286,414789,96,4896,12480,392803,132,4422,16020,449374,149,4974,27140,667505,222,7085,25895,644782,203,6638,51401,792046,243,7453,12865,1164356,231,10787,7802,961189,80,9055,17995,1021788,64,9317,8339,1334779,69,11984,5556,1093007,50,9845,5680,1116528,40,9981,7904,1430243,72,12756,7680,1176355,65,10490,3967,1198334,79,10800,5271,1519022,63,13814
MI,75634,2318872,2303,58078,37041,2514845,1072,64133,65284,2700166,558,67007,221855,4216281,1654,88917,61592,3894674,1640,78805,8853,3986132,670,82815,9576,5016381,246,105369,41725,4125066,288,85252,99911,5525440,911,109763,115317,4891860,1171,92168,181849,5461753,1716,98023,263095,8004326,3777,137267,493321,8036072,2965,123329,146822,9287755,2384,134161,37029,11878473,1283,176418,38449,9631649,344,143519,101885,9947181,355,144759,78600,12893091,562,183267,65881,10580718,513,148833,78889,10884095,481,150884,84966,14018816,716,191563,50009,11470827,626,156027,43436,11655937,723,158649,59042,14818589,794,202339
MN,44237,1771881,456,26674,23671,1887515,156,27621,27750,1985880,264,28525,63407,2729051,305,36963,27842,2366591,148,30503,5014,2411395,37,30799,6800,3036746,44,38644,28961,2507582,196,31436,67850,3389343,537,41215,73450,3024767,619,35473,109585,3391337,987,38884,124280,4843384,1107,54084,264672,4636845,747,46509,129888,5533918,503,49353,19107,7114218,106,62633,19954,5757712,57,50337,51653,5921462,120,50717,52298,7659154,110,64008,37766,6303557,116,51591,40253,6464262,128,52135,33978,8260328,207,66051,21252,6713875,171,53591,18949,6787796,199,54329,29863,8616953,258,69123
MO,89495,1986826,1333,26287,34803,2199498,1206,31017,15176,2280353,549,34614,15167,2919101,341,44925,14134,2399730,360,37367,15771,2453995,183,38475,58626,3246456,401,49426,74149,2908977,792,42169,71690,3990991,1105,57684,32057,3385322,562,49428,44928,3520292,490,51452,102226,4786414,736,76789,295420,4723367,1145,67546,98082,5507875,1307,73194,17012,7045915,1491,98800,13522,5689784,355,81416,24654,5768847,138,82359,52883,7415287,267,104140,55756,6158599,179,84053,47772,6372449,266,85027,43894,8182050,259,107656,20179,6664244,224,87019,21363,6748032,168,87765,37341,8582320,240,110722
MP,10,514,0,8,11,544,0,8,15,604,0,8,6,806,0,10,17,695,0,8,2,732,0,8,7,932,0,10,39,857,0,8,39,1280,0,10,23,1133,1,11,313,1722,0,12,2481,9983,10,35,1479,15951,10,82,4701,29290,4,98,1800,52831,6,155,198,44845,1,135,70,45234,0,136,496,57649,1,171,744,48993,2,142,477,51596,3,156,121,65759,0,200,38,52792,1,164,13,52873,0,164,113,66320,0,205
MS,55617,997633,1170,21883,23220,1142366,688,25654,11733,1199348,376,27503,7734,1540911,212,35587,5705,1259814,108,29034,3228,1276346,89,29427,19662,1641312,139,37318,80220,1541171,651,31403,67119,2330060,1408,45317,16373,1993362,471,39694,8966,2036019,202,40793,26220,2617751,178,51776,166746,2552604,335,42529,82341,3082140,1179,46349,6488,3964241,443,61416,2822,3185441,43,49701,8551,3207635,27,49833,26412,4097890,50,62453,40053,3427213,113,50305,32640,3572591,137,50905,22560,4607477,146,64259,5600,3724289,56,51806,5124,3745174,66,52048,16956,4736297,63,65330
MT,11314,354509,250,4373,6698,388535,150,5295,4421,407714,81,5578,4824,532702,136,7564,2973,442113,41,6374,1947,451012,51,6558,2487,573250,48,8416,8388,482109,69,6964,25547,690890,228,9404,24260,660916,320,8715,15594,738674,290,9980,7382,971746,293,14159,35996,859793,84,11795,31218,1022762,165,12315,8268,1356380,93,16114,1240,1092948,107,13122,3715,1103186,47,13540,9646,1415170,45,17181,9455,1172303,24,13836,7570,1205972,32,13948,6563,1540473,19,17561,3833,1253064,54,14264,3541,1266910,23,14342,4949,1605745,23,18058
NC,196939,2714344,2793,38709,103053,3271599,1523,47214,47528,3513162,466,50254,61944,4659689,394,64693,31174,3915597,340,53273,12126,3985736,171,54246,38538,5084064,220,68612,141750,4477169,915,57169,214108,6590525,2436,81111,73899,5784441,1219,72051,49482,5994994,557,75076,155857,7950469,817,97058,726794,8457822,1985,83439,204436,10246310,2224,93054,28558,13129574,789,122780,30516,10599138,153,99488,90467,10860479,134,100056,112228,14136601,148,125734,115912,11744079,277,101582,115793,12237911,359,103018,99943,15806260,680,132069,38573,12900609,428,107615,31058,13032541,391,109128,48316,16496057,283,137726
