States,Total_vaccinations,Total_distributed,People_vaccinated,People_fully_vaccinated_per_hundred,Total_vaccinations_per_hundred,People_fully_vaccinated,People_vaccinated_per_hundred,Total_boosters_per_hundred,Total_boosters,Share_doses_used,Daily_vaccinations_per_million,Daily_vaccinations,Daily_vaccinations_raw,Distributed_per_hundred
Virgin Islands,2016998,2082250,1073953,835.6,1926.79,874709,1025.95,,,29.055,96339,10085,8820,1989.2
Virginia,227398033,272368450,131359295,1191.95,2664.14,101740151,1538.99,,,25.034,214847,1833829,1691780,3190.99
Washington,202928577,246628660,118086538,1186.95,2664.88,90386838,1550.73,,,24.657,246698,1878582,1787594,3238.75
West Virginia,37416569,52131750,20429577,976.98,2087.81,17508460,1139.96,,,21.533,87880,157496,140672,2908.91
Wisconsin,153370823,169878540,84347500,1223.86,2634.16,71258238,1448.64,,,27.072,156781,912840,828485,2917.65
Wyoming,11330666,14835980,6152863,903.48,1957.75,5228873,1063.14,,,22.908,77957,45118,39558,2563.42
Jun,19067491000,22731499200,10530349380,77466.7,165038.75,8782207254,91508.29,,,1559.263,5325055,63361377,60744407,200720.84
Alabama,95297678,141135040,55559922,925.51,1943.61,45379467,1133.11,,,20.25,64683,317154,328331,2878.43
Alaska,19014366,24651740,10417867,1234.05,2599.18,9027505,1424.12,,,23.138,59007,43167,45980,3369.82
American Samoa,1334286,1620900,737838,1085.47,2395.95,604481,1324.86,,,24.692,66567,3707,3592,2910.6
Arizona,187279133,239043410,104935050,1145.36,2573,83367639,1441.65,,,23.498,74847,544795,519969,3284.2
Arkansas,64729945,84210160,36896045,981.16,2144.95,29608680,1222.63,,,23.058,52433,158230,148607,2790.46
Bureau of Prisons,5683011,5935590,3104434,,,2775195,,,,28.723,,13682,11561,
California,1220198169,1450828780,702130033,1403.31,3088.16,554479353,1776.97,,,25.227,111318,4398364,4171355,3671.83
Colorado,177656465,207463100,97226036,1462.59,3084.98,84227837,1688.33,,,25.685,103843,597998,565907,3602.59
Connecticut,127085572,139524870,69855587,1720.87,3564.54,61354407,1959.32,,,27.322,108904,388276,360785,3913.45
Delaware,29712491,37765110,16527945,1397.33,3051.32,13606620,1697.33,,,23.601,105347,102582,95495,3878.26
Dept of Defense,113052695,134794320,66036118,,,48134375,,,,24.513,,498585,534015,
District of Columbia,24788398,31528510,12529378,1479.43,3512.35,10441026,1775.33,,,23.585,110360,77886,72902,4467.42
Federated States of Micronesia,1372155,2274200,807573,642.84,1323.92,666292,779.21,,,17.494,68149,7063,6954,2194.31
Florida,598741760,730632560,332282811,1275.26,2787.73,273902523,1547.12,,,24.576,107852,2316369,2241753,3401.83
Georgia,240427273,329267460,132532557,1029.03,2264.46,109257369,1248.28,,,21.903,81563,865990,812148,3101.22
Guam,5248569,6447900,2888310,1473.1,3166.22,2441924,1742.41,,,24.416,172891,28660,26538,3889.62
Hawaii,49178602,57245010,29075044,1495.02,3473.36,21167682,2053.51,,,25.772,70945,100448,85975,4043.08
Idaho,38477948,49322560,20727657,1034.21,2153.16,18482370,1159.86,,,23.402,48832,87259,83798,2759.98
Illinois,369845292,433551470,218018927,1291.2,2918.63,163620751,1720.51,,,25.585,104935,1329735,1269804,3421.36
Indian Health Svc,42291788,52385520,23616192,920.1,2030.54,19163624,1133.87,,,24.221,36186,75371,71528,2515.14
Indiana,161039930,197410840,87395702,1136.52,2392.11,76512918,1298.18,,,24.466,74628,502412,470249,2932.32
Iowa,88472604,102059480,47730295,1381.59,2804.12,43590813,1512.79,,,26.006,63980,201859,184242,3234.78
Kansas,72223820,91098560,41992480,1205.59,2479.08,35122352,1441.41,,,23.779,55963,163032,155328,3126.97
Kentucky,114825281,131881210,64461967,1228.91,2570.13,54904448,1442.85,,,26.114,78748,351830,339660,2951.9
Long Term Care,236060416,,,,,,,,,,,45476,42308,
Louisiana,96619530,119626860,51633555,989.94,2078.38,46019698,1110.69,,,24.227,56189,261226,248153,2573.25
Maine,46677538,54754270,26252544,1750.46,3472.5,23529718,1953.03,,,25.573,97818,131485,123663,4073.31
Marshall Islands,944546,1539000,516402,756.74,1617.07,442042,884.05,,,18.411,47576,2779,2820,2634.6
Maryland,195723568,248533010,108308558,1566.44,3237.41,94701759,1791.53,,,23.622,125150,756604,713320,4110.92
Massachusetts,255135938,287282970,142105777,1746.23,3701.66,120359330,2061.75,,,26.639,127493,878764,769543,4168.06
Michigan,272677167,343661180,150535876,1343.13,2730.37,134136338,1507.33,,,23.799,76386,762838,710028,3441.14
Minnesota,169571598,193233490,94424474,1469.59,3006.76,82880447,1674.31,,,26.325,81834,461503,441089,3426.36
Mississippi,55245838,78890230,31376938,853.6,1856.3,25405018,1054.27,,,21.008,43331,128964,139980,2650.77
Missouri,146893226,180753300,80225622,1102.01,2393.38,67634433,1307.16,,,24.373,69785,428286,427178,2945.07
Montana,27171040,32957170,14949345,1218.86,2542.26,13026695,1398.71,,,24.728,65230,69714,71607,3083.66
Nebraska,53276208,61613190,28979831,1342.73,2754.1,25973632,1498.13,,,25.937,88254,170716,160622,3185.14
Nevada,79148664,89859860,43960248,1182.24,2569.63,36415552,1427.18,,,26.419,85791,264252,261812,2917.36
New Hampshire,44148503,53676830,24958109,1597.46,3246.88,21720754,1835.54,,,24.67,98157,133469,115862,3947.68
New Jersey,151425677,180260240,87703447,827.83,1704.83,73529450,987.39,,,13.437,86834,771303,491520,2029.47
New Mexico,56381824,58374325,31562869,1285.38,2688.92,26952606,1505.26,,,24.143,208457,437100,476809,2783.94
New York State,623813104,702480550,338965805,1518.29,3206.68,295362493,1742.46,,,26.635,116377,2263926,2083119,3611.09
North Carolina,244798678,334519730,135296317,1100.84,2334.1,115459607,1290,,,21.219,57926,607540,1056700,3189.53
North Dakota,18869751,21130090,9849724,1132.36,2476.15,8629142,1292.53,,,26.79,39072,29777,27338,2772.72
Northern Mariana Islands,1560970,2169900,835150,1295.04,2744.21,736636,1468.21,,,21.583,123378,7018,7032,3814.8
Ohio,309808095,366537040,165592517,1277.59,2650.42,149337732,1416.67,,,25.353,70350,822348,765371,3135.75
Oklahoma,93242740,119307570,51268658,1078.79,2356.4,42686853,1295.67,,,23.44,77408,306309,306361,3015.11
Oregon,129921833,166293330,72074760,1490.07,3080.35,62847364,1708.84,,,23.435,119288,503137,434277,3942.74
Pennsylvania,400039535,461847900,234014860,1412.09,3124.79,180772729,1827.96,,,25.978,107879,1381075,1259767,3607.63
Puerto Rico,88603394,120468380,52267137,1245.13,2774.33,39765411,1636.58,,,22.054,163775,523043,517435,3772.07
Republic of Palau,735995,738000,417271,2111.61,4110.1,378139,2330.19,,,29.922,71370,1278,898,4121.4
Rhode Island,36720776,44781100,20014507,1666.68,3466.34,17656038,1889.31,,,24.597,113911,120673,112463,4227.16
South Carolina,119344811,156020650,65651794,1086.04,2317.93,55916250,1275.11,,,22.944,80241,413135,409303,3030.25
South Dakota,23157829,27500505,12681480,1274.87,2617.7,11278259,1433.49,,,24.415,48764,43140,40523,3108.6
Tennessee,151898736,192442320,82834136,1008.15,2224.27,68850225,1212.92,,,23.753,62728,428375,414404,2817.95
Texas,732799588,936537070,403635009,1153.6,2527.26,334493329,1392.04,,,23.467,95203,2760557,2643956,3229.89
United States,9355875771,11267061210,5242726571,1316.12,2818.07,4369447670,1579.15,,,24.907,94364,31328536,30117286,3393.76
Utah,81463650,95300610,45110540,1048.2,2541,33604730,1407.08,,,25.638,80287,257400,258462,2972.62
Vermont,24600986,27290040,13557976,1853.4,3942.53,11564939,2172.77,,,27.038,142360,88832,74291,4373.53
Veterans Health,159368691,187273200,84273677,,,79762273,,,,25.532,,110456,97932,
Virgin Islands,2246275,2302680,1187009,953.93,2145.83,998617,1133.96,,,29.261,65573,6864,6839,2199.73
Virginia,265098154,304272310,146948814,1462,3105.84,124789707,1721.6,,,26.13,108323,924616,851354,3564.75
Washington,244294848,275785960,135177528,1528.52,3208.1,116394538,1775.16,,,26.566,130400,992976,909705,3621.66
West Virginia,41014042,56102010,22667950,1070.18,2288.54,19178861,1264.85,,,21.931,56406,101088,100197,3130.43
Wisconsin,170856436,180903380,91681786,1407.92,2934.45,81974630,1574.64,,,28.329,74613,434420,420491,3106.99
Wyoming,12277800,15339440,6639041,994.19,2121.41,5753959,1147.12,,,24.009,44793,25925,26113,2650.38
Jul,20501806313,23620453835,11218626512,83306.35,173864.4,9705034592,95084.21,,,1586.477,3559009,40739644,37161101,202966.21
Alabama,103831573,147900380,60654216,1007.03,2117.64,49376652,1237.06,,,21.058,45477,222986,226244,3016.4
Alaska,17797049,21902570,9613627,1161.54,2432.78,8497196,1314.14,,,21.126,59782,43735,30727,2994.03
American Samoa,1478095,1638900,821480,1211.22,2654.17,674508,1475.13,,,27.05,96089,5351,5864,2942.97
Arizona,208045786,249201640,112933067,1329.41,2858.26,96765035,1551.55,,,25.046,83999,611400,591099,3423.67
Arkansas,69788924,87184630,39799923,1058.47,2312.57,31942724,1318.85,,,24.014,65312,197092,208646,2889.04
Bureau of Prisons,5931690,6195000,3213339,,,2947569,,,,28.723,,5912,6265,
California,1319259319,1498656040,748142330,1544.79,3338.86,610381082,1893.44,,,26.408,66039,2609295,2395524,3792.92
Colorado,190218756,213928970,102112817,1598.98,3303.13,92080865,1773.2,,,26.673,51730,297896,276160,3714.84
Connecticut,135093447,144438640,73167226,1863.53,3789.14,66439485,2052.24,,,28.059,55403,197517,178763,4051.22
Delaware,31980847,39146640,17356385,1546.12,3284.26,15055397,1782.42,,,24.508,57632,56122,48725,4020.13
Dept of Defense,69701795,70354360,39748180,,,30529767,,,,15.85,,320390,230872,
District of Columbia,24779757,30145610,12383563,1504.03,3511.14,10614876,1754.66,,,23.019,57210,40377,34667,4271.42
Federated States of Micronesia,1604131,2364000,961216,799.09,1547.76,828210,927.43,,,20.361,53299,5524,4509,2280.9
Florida,653629331,762937700,357510791,1424.56,3043.28,305970797,1664.57,,,25.699,71007,1525054,1455220,3552.22
Georgia,251101825,330647005,137362656,1090.28,2365,115763411,1293.75,,,22.02,53414,567076,395663,3114.21
Guam,5298814,5825790,2842575,1543.66,3196.51,2558892,1714.75,,,24.558,87805,14555,13626,3514.32
Hawaii,44216592,51081850,25992792,1372.77,3122.93,19436213,1835.79,,,22.504,28079,39757,39668,3607.8
Idaho,39144735,49670520,20894345,1067.25,2190.46,19072548,1169.19,,,22.856,29348,52446,46594,2779.42
Illinois,399541448,448634970,231328867,1424.7,3152.99,180534842,1825.55,,,26.719,56751,719095,638371,3540.41
Indian Health Svc,44040433,53121520,24434778,967.89,2114.48,20159413,1173.18,,,24.873,23548,49044,51739,2550.47
Indiana,177799506,204955660,93122414,1296.42,2641.05,87276811,1383.2,,,26.024,72618,488889,477169,3044.42
Iowa,92675198,105558590,49461065,1467.24,2937.34,46292397,1567.66,,,26.34,33952,107123,101962,3345.68
Kansas,77116106,94325910,44337267,1299.1,2647,37846395,1521.9,,,24.519,74262,216345,215523,3237.72
Kentucky,118712291,132266745,65616609,1294.46,2657.13,57832018,1468.72,,,26.027,45533,203432,190457,2960.52
Long Term Care,118461592,,,,,,,,,,,12870,12564,
Louisiana,104740134,124727020,55686628,1081.16,2253.09,50260345,1197.86,,,25.192,60037,279105,294061,2683
Maine,49265699,56489180,27181713,1880.49,3665.03,25277590,2022.14,,,26.169,45044,60549,61172,4202.41
Marshall Islands,1043195,1539000,574778,854.52,1785.88,499145,983.94,,,20.338,55210,3225,2977,2634.6
Maryland,211590857,258558460,114829099,1728.22,3499.88,104482497,1899.36,,,24.553,61308,370646,328661,4276.72
Massachusetts,270070603,296020160,147938451,1888.13,3918.34,130139477,2146.38,,,27.37,47222,325473,292280,4294.82
Michigan,288644948,353408090,156583804,1442.37,2890.24,144049264,1567.91,,,24.504,40461,404076,373652,3538.71
Minnesota,179463361,198501020,97930478,1588.58,3182.19,89590273,1736.47,,,27.12,42549,239968,209508,3519.73
Mississippi,61578253,81708970,33688188,995.26,2069.06,29620735,1131.92,,,22.607,78772,234445,240518,2745.48
Missouri,158315989,188771220,85886587,1204.57,2579.5,73930127,1399.4,,,25.16,57494,352868,368118,3075.76
Montana,28708699,33702480,15558952,1310.85,2686.14,14009860,1455.77,,,25.554,35063,37476,32765,3153.39
Nebraska,55109442,61633020,29530761,1409.94,2848.93,27273816,1526.6,,,25.931,40577,78495,61784,3186.17
Nevada,86174137,95371700,47705414,1297.69,2797.71,39970969,1548.78,,,27.109,65508,201770,179035,3096.33
New Hampshire,47031255,56065830,25988628,1723.98,3458.91,23441066,1911.32,,,25.165,56426,76725,75361,4123.35
New Jersey,303445917,354021490,171554676,1705.78,3416.33,151510439,1931.42,,,25.715,62677,556718,523587,3985.71
New Mexico,70623496,69722285,39007060,1623.81,3368.12,34048947,1860.29,,,29.371,63601,133360,101916,3325.13
New York State,672201822,734475460,359166213,1672.79,3455.43,325415731,1846.29,,,27.458,61821,1202652,1122843,3775.52
North Carolina,284872210,356674750,156755952,1286.11,2716.14,134887008,1494.61,,,23.964,92306,968134,445285,3400.74
North Dakota,17619152,19615420,9178295,1067.35,2312.01,8133966,1204.41,,,24.252,26660,20315,20597,2573.98
Northern Mariana Islands,1755533,2223900,927409,1482.64,3086.25,843363,1630.39,,,23.685,102878,5852,5107,3909.72
Ohio,326781150,377729800,171806260,1371.79,2795.64,160346534,1469.78,,,25.952,34854,407395,388358,3231.5
Oklahoma,100705055,122343790,54781559,1181.56,2545,46754420,1384.45,,,24.693,46835,185330,188146,3091.81
Oregon,139926066,171215790,75577345,1650.27,3317.56,69604028,1791.87,,,24.517,54576,230183,219565,4059.44
Pennsylvania,427126165,478486450,246325168,1532.72,3336.42,196218124,1924.12,,,26.779,52937,677738,625974,3737.61
Puerto Rico,116022200,127108000,64262855,1742.29,3632.85,55643295,2012.17,,,27.379,250281,799319,736508,3979.99
Republic of Palau,689555,700650,392610,2008.72,3850.75,359708,2192.47,,,26.689,54225,971,992,3912.75
Rhode Island,39118021,46077990,20927263,1809.03,3692.62,19163990,1975.47,,,25.468,52877,56016,51015,4349.59
South Carolina,128967208,162169880,70123209,1192.46,2504.86,61395268,1361.96,,,23.859,45254,233007,212099,3149.75
South Dakota,25038649,29270820,13675516,1386.64,2830.33,12267129,1545.85,,,25.661,35694,31576,31810,3308.74
Tennessee,167533300,194687740,88786817,1144.68,2453.2,78172712,1300.12,,,25.816,70474,481261,473401,2850.81
Texas,796139161,974416730,432541073,1278.67,2745.72,370770573,1491.75,,,24.511,59671,1730177,1682898,3360.5
United States,10107751341,11695171710,5573501230,1451.1,3044.54,4817686587,1678.75,,,25.926,60763,20173557,18508846,3522.65
Utah,87697066,98752640,48458318,1247.87,2735.44,40006414,1511.5,,,26.642,50928,163272,157720,3080.27
Vermont,3415760,3690580,1848888,263.33,547.41,1643180,296.31,,,3.702,14858,9267,3803,591.44
Veterans Health,161773467,187370400,85585795,,,81383498,,,,25.905,,70997,76562,
Virgin Islands,2428467,2473510,1284383,1041.56,2319.93,1090315,1226.95,,,29.487,58356,6109,6799,2362.93
Virginia,284061202,317183330,154578410,1600.14,3327.98,136580179,1811.02,,,26.87,54528,465440,429014,3716.01
Washington,255703887,277193175,138515333,1633.78,3357.96,124408772,1819.02,,,26.75,62382,475025,405855,3640.16
West Virginia,44117188,57825720,24411150,1156.67,2461.71,20729296,1362.14,,,22.887,43963,78787,69952,3226.62
Wisconsin,181499928,187193310,95414944,1527.56,3117.25,88942173,1638.75,,,29.089,47684,277635,250539,3215.06
Wyoming,11807735,14078725,6343772,968.73,2040.17,5606676,1096.12,,,22.644,43966,25447,25397,2432.58
Aug,22517914657,26105105880,12332241620,91803.63,192981.87,10509697761,106228.68,493.04,56309054,1657.55,4136323,48728887,49076560,227179.05
Alabama,118849569,173991440,70886635,1111.01,2423.92,54475382,1445.73,,,21.194,103476,507351,549072,3548.54
Alaska,22074892,27553925,11974383,1435.83,3017.55,10503852,1636.88,11.42,83503,24.841,43203,31606,32967,3766.54
American Samoa,1674899,1784730,925826,1379.18,3007.6,768040,1662.49,,,29.096,74702,4160,3609,3204.75
Arizona,227354879,277001790,124067595,1441.44,3123.59,104919192,1704.52,15.28,1111132,25.45,63858,464810,473591,3805.65
Arkansas,81543376,104909200,47308235,1204.47,2702.08,36348164,1567.63,4.76,143742,24.138,117499,354583,352975,3476.33
Bureau of Prisons,6021835,6377300,3286127,,,2993367,,,1611,27.381,,15684,11216,
California,1444288349,1637392795,820382009,1684.56,3655.29,665613565,2076.27,5.9,2333475,27.35,72313,2857244,2872674,4144.01
Colorado,205912539,231864825,110550797,1724.34,3575.66,99301871,1919.73,12,690425,27.54,59370,341894,350219,4026.28
Connecticut,145805837,158560435,79359950,2001.71,4089.6,71365976,2225.89,5.72,203807,28.511,63164,225191,230501,4447.35
Delaware,34726248,43144415,18860117,1672.01,3566.21,16281301,1936.84,19.19,186918,24.961,62824,61176,61907,4430.67
Dept of Defense,144127978,136511340,82263582,,,63137262,,,976684,32.729,,423950,456772,
District of Columbia,27741462,33513870,13937075,1684.43,3930.8,11887835,1974.79,70.69,498886,24.835,63420,44758,44295,4748.68
Federated States of Micronesia,1874184,2475200,1157903,950.09,1808.3,984689,1117.24,2.53,2627,23.465,89188,9244,10047,2388.25
Florida,734941685,876379055,407038192,1570.5,3421.87,337308002,1895.15,21.88,4698834,26.016,105746,2271210,2348839,4080.37
Georgia,279768785,372693720,155042312,1195.39,2635.01,126919435,1460.27,9.29,987341,22.528,79043,839248,672750,3510.22
Guam,6425106,6688870,3447067,1887.01,3875.96,3128025,2079.47,4.98,8242,29.779,72765,12062,12814,4034.96
